Phase,Loss,Accuracy
val,0.7955562993884087,0.75
val,0.6963830441236496,0.78125
val,0.8271735236048698,0.71875
val,0.7646689563989639,0.78125
val,0.7426536194980145,0.71875
val,0.6579197496175766,0.78125
val,0.8031401336193085,0.78125
val,0.8579528033733368,0.71875
val,0.6874997913837433,0.78125
val,0.7306618392467499,0.78125
val,0.7471208535134792,0.78125
val,0.7790261879563332,0.75
val,0.7387396693229675,0.78125
val,0.7367829009890556,0.75
val,0.7030978500843048,0.78125
val,0.6941321864724159,0.78125
val,0.688537985086441,0.78125
val,0.7128242924809456,0.78125
val,0.7527548968791962,0.75
val,0.7100577503442764,0.78125
val,0.6766291037201881,0.78125
val,0.7269507646560669,0.78125
val,0.7320010811090469,0.75
val,0.7876255437731743,0.75
val,0.6974813528358936,0.75
val,0.7196051254868507,0.78125
val,0.6737523525953293,0.75
val,0.6943498253822327,0.78125
val,0.7011927850544453,0.78125
val,0.7390482053160667,0.75
val,0.811887264251709,0.78125
val,0.7390738278627396,0.78125
val,0.739905770868063,0.78125
val,0.7375567406415939,0.78125
val,0.7460329048335552,0.78125
val,0.7076904699206352,0.78125
val,0.7589704357087612,0.75
val,0.7448570430278778,0.75
val,0.7676999941468239,0.71875
val,0.6993633508682251,0.78125
val,0.87059685587883,0.71875
val,0.7824955806136131,0.78125
val,0.7322385236620903,0.78125
val,0.7744217664003372,0.75
val,0.7477916926145554,0.75
val,0.8432239294052124,0.71875
val,0.7548088729381561,0.75
val,0.6786614805459976,0.75
val,0.7425293400883675,0.75
val,0.64072485268116,0.78125
val,0.7090441808104515,0.78125
val,0.7979955449700356,0.75
val,0.7533509582281113,0.75
val,0.7566887885332108,0.71875
val,0.6439155116677284,0.78125
val,0.6580787897109985,0.78125
val,0.7046749591827393,0.78125
val,0.7657148465514183,0.71875
val,0.7795329242944717,0.71875
val,0.7796404138207436,0.75
val,0.8378005474805832,0.75
val,0.705611452460289,0.78125
val,0.7443247511982918,0.78125
val,0.7357672154903412,0.75
val,0.70903030782938,0.75
val,0.7141119763255119,0.75
val,0.7775162979960442,0.75
val,0.730360746383667,0.75
val,0.6690461710095406,0.78125
val,0.7145224288105965,0.78125
val,0.7048457115888596,0.75
val,0.6904997378587723,0.78125
val,0.7641358152031898,0.75
val,0.6689844131469727,0.78125
val,0.6531443446874619,0.75
val,0.6819313578307629,0.78125
val,0.6541325449943542,0.78125
val,0.6847063153982162,0.78125
val,0.7377737164497375,0.75
val,0.6486828550696373,0.78125
val,0.7484152466058731,0.75
val,0.6762249171733856,0.8125
val,0.8080501705408096,0.75
val,0.7145387306809425,0.78125
val,0.6524781957268715,0.78125
val,0.74273232370615,0.75
val,0.6892214864492416,0.78125
val,0.7156565338373184,0.78125
val,0.6305717378854752,0.78125
val,0.6909996122121811,0.75
val,0.783009484410286,0.75
val,0.7894815355539322,0.75
val,0.7476429045200348,0.75
val,0.7631793171167374,0.75
val,0.6845069602131844,0.75
val,0.7430919632315636,0.75
val,0.8066068217158318,0.75
val,0.8358123302459717,0.75
val,0.7947716042399406,0.75
val,0.7567910701036453,0.75
val,0.6445140391588211,0.8125
val,0.714533306658268,0.78125
val,0.7683180570602417,0.71875
val,0.802159033715725,0.75
val,0.7898873686790466,0.78125
val,0.6972119361162186,0.78125
val,0.6987413018941879,0.75
val,0.7837418764829636,0.71875
val,0.7566054314374924,0.78125
val,0.6485455632209778,0.78125
val,0.6695386692881584,0.78125
val,0.7866075336933136,0.71875
val,0.7333057820796967,0.75
val,0.7149676084518433,0.75
val,0.7588947415351868,0.75
val,0.9275200515985489,0.71875
val,0.823110930621624,0.71875
val,0.865921750664711,0.71875
val,0.8696550875902176,0.71875
val,0.7403237298130989,0.78125
val,0.6568594053387642,0.78125
val,0.7445923462510109,0.75
val,0.6495114713907242,0.78125
val,0.6947359219193459,0.78125
val,0.741041824221611,0.75
val,0.8044216930866241,0.75
val,0.8403844833374023,0.71875
val,0.6801376827061176,0.78125
val,0.7367407828569412,0.75
val,0.703298382461071,0.78125
val,0.7647643387317657,0.78125
val,0.7721199244260788,0.71875
val,0.7400927245616913,0.75
val,0.7546118274331093,0.75
val,0.7031130604445934,0.78125
val,0.7361899092793465,0.75
val,0.6574500948190689,0.75
val,0.7419076338410378,0.75
val,0.7069764733314514,0.78125
val,0.7027249783277512,0.75
val,0.700664222240448,0.75
val,0.7680783495306969,0.71875
val,0.8195089101791382,0.71875
val,0.789547935128212,0.75
val,0.7202763706445694,0.75
val,0.6626647934317589,0.75
val,0.7400161474943161,0.75
val,0.6739231795072556,0.75
val,0.6588364914059639,0.78125
val,0.6693468242883682,0.78125
val,0.7511374652385712,0.78125
val,0.6285659708082676,0.78125
val,0.699797660112381,0.71875
val,0.7046215683221817,0.78125
val,0.6950847506523132,0.78125
val,0.8346284478902817,0.75
val,0.7796346545219421,0.75
val,0.7851605787873268,0.75
val,0.7808873802423477,0.75
val,0.813460186123848,0.71875
val,0.7277662009000778,0.75
val,0.8065430745482445,0.71875
val,0.6905556544661522,0.78125
val,0.7244935482740402,0.78125
val,0.735413134098053,0.78125
val,0.6657550483942032,0.78125
val,0.788415789604187,0.71875
val,0.677498072385788,0.75
val,0.7373671755194664,0.75
val,0.719464898109436,0.75
val,0.7133797854185104,0.78125
val,0.7362094447016716,0.75
val,0.7232430428266525,0.8125
val,0.79214808344841,0.71875
val,0.7728781327605247,0.75
val,0.6163961440324783,0.78125
val,0.7419041022658348,0.75
val,0.6658832505345345,0.78125
val,0.6141238696873188,0.78125
val,0.7368558328598738,0.75
val,0.7495935186743736,0.71875
val,0.7891536131501198,0.75
val,0.78533486276865,0.78125
val,0.7323987707495689,0.78125
val,0.7869183868169785,0.75
val,0.7140663787722588,0.78125
val,0.8197756707668304,0.75
val,0.8204050213098526,0.75
val,0.7994272336363792,0.71875
val,0.6855011582374573,0.78125
val,0.730441078543663,0.75
val,0.8195914849638939,0.75
val,0.7547799870371819,0.75
val,0.6757094860076904,0.78125
val,0.7082476392388344,0.75
val,0.7131287381052971,0.78125
val,0.6944956332445145,0.78125
val,0.802847258746624,0.71875
val,0.8390975445508957,0.6875
val,0.7031966969370842,0.78125
val,0.7045594304800034,0.75
val,0.6957328245043755,0.75
val,0.6939615234732628,0.78125
val,0.635585755109787,0.78125
val,0.7065733671188354,0.8125
val,0.7022193521261215,0.78125
val,0.7000786066055298,0.75
val,0.7353244498372078,0.75
val,0.7157991006970406,0.78125
val,0.7221339046955109,0.8125
val,0.7419438660144806,0.78125
val,0.6677683591842651,0.78125
val,0.673528041690588,0.78125
val,0.7038562670350075,0.8125
val,0.764255128800869,0.75
val,0.7153778150677681,0.75
val,0.7711633592844009,0.75
val,0.7209863029420376,0.78125
val,0.6367710381746292,0.8125
val,0.7006271630525589,0.78125
val,0.6608629375696182,0.78125
val,0.7397950440645218,0.75
val,0.8188139908015728,0.71875
val,0.6766679212450981,0.78125
val,0.7578214854001999,0.75
val,0.757625475525856,0.75
val,0.7991758063435555,0.75
val,0.737792044878006,0.78125
val,0.7491719126701355,0.78125
val,0.7124809138476849,0.78125
val,0.7467281520366669,0.78125
val,0.7511754035949707,0.75
val,0.7551981322467327,0.75
val,0.7275813221931458,0.78125
val,0.735924169421196,0.78125
val,0.7419461905956268,0.75
val,0.6517018154263496,0.78125
val,0.7539977580308914,0.78125
val,0.7981392294168472,0.75
val,0.7729811742901802,0.75
val,0.7545320577919483,0.71875
val,0.7203791365027428,0.75
val,0.7122766673564911,0.75
val,0.7223303020000458,0.75
val,0.7608770877122879,0.75
val,0.7557304054498672,0.75
val,0.7075862884521484,0.78125
val,0.6901642233133316,0.78125
val,0.6979692950844765,0.75
val,0.7507042363286018,0.78125
val,0.7906023859977722,0.71875
val,0.7121957242488861,0.75
val,0.737501248717308,0.75
val,0.8174759820103645,0.6875
val,0.7947643101215363,0.75
val,0.6781710684299469,0.78125
val,0.6936540976166725,0.75
val,0.7734474837779999,0.71875
val,0.7989691123366356,0.75
val,0.7004608064889908,0.78125
val,0.6673737913370132,0.8125
val,0.7646191790699959,0.75
val,0.7166110388934612,0.78125
val,0.746338240802288,0.78125
val,0.8531649932265282,0.78125
val,0.72505272179842,0.75
val,0.7075953185558319,0.78125
val,0.7078273147344589,0.75
val,0.6716485992074013,0.8125
val,0.6798427253961563,0.75
val,0.8018094822764397,0.75
val,0.8312342166900635,0.71875
val,0.7040848582983017,0.78125
val,0.6869877725839615,0.75
val,0.6657496988773346,0.78125
val,0.6809592321515083,0.78125
val,0.6983809471130371,0.71875
val,0.7085236832499504,0.75
val,0.7433434724807739,0.75
val,0.7468541115522385,0.75
val,0.7782967165112495,0.75
val,0.7348320186138153,0.75
val,0.7346644699573517,0.78125
val,0.759517140686512,0.75
val,0.7736658155918121,0.75
val,0.7979886829853058,0.75
val,0.7026689797639847,0.78125
val,0.8083969280123711,0.75
val,0.8581820279359818,0.75
val,0.7194856405258179,0.78125
val,0.7253216803073883,0.78125
val,0.7033121660351753,0.78125
val,0.7172168716788292,0.78125
val,0.7223252430558205,0.78125
val,0.6444555073976517,0.8125
val,0.7807652726769447,0.71875
val,0.7016490921378136,0.78125
val,0.6674123406410217,0.78125
val,0.7441904470324516,0.78125
val,0.6953065544366837,0.78125
val,0.6982891485095024,0.78125
val,0.6570027992129326,0.8125
val,0.7242849841713905,0.78125
val,0.7198533862829208,0.78125
val,0.6398607566952705,0.78125
val,0.6954474523663521,0.8125
val,0.7337475121021271,0.71875
val,0.7278221845626831,0.75
val,0.7497542351484299,0.75
