,time,open,high,low,close,volume,ticker
500,2020-03-04,9490,9630,9440,9500,2680650,POW
501,2020-03-05,9680,9920,9630,9730,3579000,POW
502,2020-03-06,9680,9780,9540,9630,2292720,POW
503,2020-03-09,8970,9350,8970,8970,4943410,POW
504,2020-03-10,8780,9150,8590,9060,2871290,POW
505,2020-03-11,9130,9200,8560,8600,5177740,POW
506,2020-03-12,8109,8250,8000,8000,5361200,POW
507,2020-03-13,7460,8490,7450,8490,4570810,POW
508,2020-03-16,8390,8470,7930,8470,3241750,POW
509,2020-03-17,8020,8960,8020,8440,3061070,POW
510,2020-03-18,8490,8540,8220,8360,1935700,POW
511,2020-03-19,8119,8290,8010,8080,2633250,POW
512,2020-03-20,8109,8300,8020,8070,1980340,POW
513,2020-03-23,7770,8070,7510,7510,4628880,POW
514,2020-03-24,7160,7440,7120,7180,5979090,POW
515,2020-03-25,7520,7560,7410,7490,2458770,POW
516,2020-03-26,7440,7440,7250,7250,2129230,POW
517,2020-03-27,7200,7620,7200,7270,3296170,POW
518,2020-03-30,6870,7150,6760,6810,6321180,POW
519,2020-03-31,6810,6980,6530,6760,3326670,POW
520,2020-04-01,6680,7020,6680,7020,2786690,POW
521,2020-04-03,7230,7380,7150,7340,4559830,POW
522,2020-04-06,7440,7810,7440,7760,5085950,POW
523,2020-04-07,7820,7820,7490,7620,3974120,POW
524,2020-04-08,7540,8150,7390,8150,9412400,POW
525,2020-04-09,8590,8590,8300,8310,8939620,POW
526,2020-04-10,8310,8310,8109,8140,4340530,POW
527,2020-04-13,8109,8590,8109,8390,9334920,POW
528,2020-04-14,8490,8690,8440,8630,8810870,POW
529,2020-04-15,8630,8760,8600,8640,5992790,POW
530,2020-04-16,8620,8620,8460,8540,6101990,POW
531,2020-04-17,8680,8730,8600,8620,7226610,POW
532,2020-04-20,8630,9200,8630,8970,9313990,POW
533,2020-04-21,8740,9270,8680,8900,8218710,POW
534,2020-04-22,8730,9200,8730,9040,6720180,POW
535,2020-04-23,9220,9240,9060,9060,5040470,POW
536,2020-04-24,9060,9110,8910,9110,4195500,POW
537,2020-04-27,9230,9520,9200,9440,7551040,POW
538,2020-04-28,9440,9820,9440,9820,6732100,POW
539,2020-04-29,9820,10210,9820,10060,7596170,POW
540,2020-05-04,9490,9780,9370,9370,9813410,POW
541,2020-05-05,9370,9370,9070,9220,4936160,POW
542,2020-05-06,9120,9490,9120,9490,3990060,POW
543,2020-05-07,9500,9730,9490,9730,5567040,POW
544,2020-05-08,9730,9920,9540,9630,9446390,POW
545,2020-05-11,9630,9730,9510,9680,6886910,POW
546,2020-05-12,9680,10210,9540,9920,9616910,POW
547,2020-05-13,9920,10060,9680,9820,5437450,POW
548,2020-05-14,9780,9820,9680,9680,4737210,POW
549,2020-05-15,9680,9870,9520,9540,6774570,POW
550,2020-05-18,9590,9680,9500,9630,4182830,POW
551,2020-05-19,9820,9820,9680,9730,5691970,POW
552,2020-05-20,9730,9780,9630,9730,2829110,POW
553,2020-05-21,9780,9820,9630,9730,3418370,POW
554,2020-05-22,9680,9730,9630,9630,3427860,POW
555,2020-05-25,9630,9920,9540,9730,6129070,POW
556,2020-05-26,9820,10210,9780,10110,9494050,POW
557,2020-05-27,10300,10350,9820,9820,6554400,POW
558,2020-05-28,9870,10020,9780,9920,4370760,POW
559,2020-05-29,9920,9920,9780,9780,3266210,POW
560,2020-06-01,9820,10020,9730,9970,5895450,POW
561,2020-06-02,9970,10300,9920,10020,8399210,POW
562,2020-06-03,10020,10110,10020,10110,1852120,POW
563,2020-06-04,10110,10210,10060,10110,4422880,POW
564,2020-06-05,9970,10110,9970,10060,3629740,POW
565,2020-06-08,10110,10440,10060,10210,9229590,POW
566,2020-06-09,10210,10680,10160,10540,11287760,POW
567,2020-06-10,10590,11060,10440,10730,8462490,POW
568,2020-06-11,10730,10870,10020,10020,8025890,POW
569,2020-06-12,9540,9970,9490,9970,8061350,POW
570,2020-06-15,10160,10400,9970,10020,7993180,POW
571,2020-06-16,10350,10350,10110,10210,2829510,POW
572,2020-06-17,10250,10300,9970,10060,2289770,POW
573,2020-06-18,9920,10020,9820,9920,2110880,POW
574,2020-06-19,9970,10060,9920,9920,5510450,POW
575,2020-06-22,10020,10210,9970,10020,3155170,POW
576,2020-06-23,10020,10110,9920,10020,3121350,POW
577,2020-06-24,10020,10060,9820,9870,3628640,POW
578,2020-06-25,9730,9820,9680,9780,2011800,POW
579,2020-06-26,9920,9920,9680,9730,2136030,POW
580,2020-06-29,9680,9680,9260,9350,6871990,POW
581,2020-06-30,9540,9540,9080,9250,3469960,POW
582,2020-07-01,9220,9390,9220,9350,3392940,POW
583,2020-07-02,9400,9400,9160,9170,3584950,POW
584,2020-07-03,9200,9300,9200,9220,2215180,POW
585,2020-07-06,9300,9530,9230,9530,2493770,POW
586,2020-07-07,9540,9680,9440,9440,2967540,POW
587,2020-07-08,9400,9470,9390,9400,1789350,POW
588,2020-07-09,9400,9590,9400,9520,2363370,POW
589,2020-07-10,9510,9680,9510,9590,4168490,POW
590,2020-07-13,9680,9680,9540,9590,2304090,POW
591,2020-07-14,9540,9590,9490,9590,1668900,POW
592,2020-07-15,9630,9680,9540,9540,1994200,POW
593,2020-07-16,9590,9630,9540,9630,2230860,POW
594,2020-07-17,9630,9630,9540,9540,2046110,POW
595,2020-07-20,9540,9590,9400,9400,2396230,POW
596,2020-07-21,9430,9430,9340,9370,2969690,POW
597,2020-07-22,9370,9390,9270,9280,2040390,POW
598,2020-07-23,9270,9290,9150,9200,2756070,POW
599,2020-07-24,9170,9190,8570,8880,8622390,POW
600,2020-07-27,8300,8570,8260,8390,6562990,POW
601,2020-07-28,8400,8940,8400,8880,4564900,POW
602,2020-07-29,8590,8780,8440,8780,3664080,POW
603,2020-07-30,8620,8880,8620,8880,1905540,POW
604,2020-07-31,8700,8830,8680,8730,1251940,POW
605,2020-08-03,8730,8870,8710,8820,3426170,POW
606,2020-08-04,8870,8960,8870,8910,2082970,POW
607,2020-08-05,8920,9110,8870,9100,3235640,POW
608,2020-08-06,9080,9110,8980,9010,3196010,POW
609,2020-08-07,9010,9010,8910,8970,2093060,POW
610,2020-08-10,9040,9440,9010,9220,3089970,POW
611,2020-08-11,9220,9310,9070,9150,1769040,POW
612,2020-08-12,9150,9310,9150,9280,3841950,POW
613,2020-08-13,9480,9490,9280,9480,3688550,POW
614,2020-08-14,9540,9680,9490,9530,5822250,POW
615,2020-08-17,9540,9540,9350,9400,2572150,POW
616,2020-08-18,9400,9480,9370,9420,1150340,POW
617,2020-08-19,9440,9730,9060,9730,3988970,POW
618,2020-08-20,9730,9730,9490,9540,3244160,POW
619,2020-08-21,9590,9630,9490,9590,1750300,POW
620,2020-08-24,9680,9680,9540,9630,3766280,POW
621,2020-08-25,9630,9730,9540,9540,3296630,POW
622,2020-08-26,9540,9680,9490,9590,3805950,POW
623,2020-08-27,9630,9730,9590,9590,2666720,POW
624,2020-08-28,9630,9780,9630,9630,4044750,POW
625,2020-08-31,9680,9730,9540,9590,2433320,POW
626,2020-09-01,9590,9630,9520,9590,2752820,POW
627,2020-09-03,9630,10020,9590,10020,9666670,POW
628,2020-09-04,9820,9970,9780,9920,2306270,POW
629,2020-09-07,9920,9970,9590,9590,3614980,POW
630,2020-09-08,9590,9630,9510,9590,5113310,POW
631,2020-09-09,9440,9590,9430,9540,2351140,POW
632,2020-09-10,9590,9680,9540,9590,1980990,POW
633,2020-09-11,9540,9630,9500,9540,4063310,POW
634,2020-09-14,9540,9630,9530,9540,4308150,POW
635,2020-09-15,9540,9730,9540,9680,4040120,POW
636,2020-09-16,9680,9730,9590,9680,1159380,POW
637,2020-09-17,9680,9730,9540,9540,2820640,POW
638,2020-09-18,9590,9630,9530,9540,7011680,POW
639,2020-09-21,9630,9680,9540,9630,4680630,POW
