time,open,high,low,close,volume,ticker
2017-03-30,5170,5240,5130,5190,2636139,ACB
2017-03-31,5210,5240,5120,5150,2374460,ACB
2017-04-03,5150,5380,5180,5250,4561999,ACB
2017-04-04,5270,5390,5220,5310,4282474,ACB
2017-04-05,5310,5360,5230,5290,2922560,ACB
2017-04-07,5290,5310,5180,5210,2654414,ACB
2017-04-10,5210,5220,5060,5120,4172644,ACB
2017-04-11,5120,5030,4890,4980,3447528,ACB
2017-04-12,4980,4960,4770,4850,4187963,ACB
2017-04-13,4850,4900,4790,4830,1942706,ACB
2017-04-14,4830,4890,4740,4810,2869490,ACB
2017-04-17,4810,4820,4660,4730,1791452,ACB
2017-04-18,4750,4860,4740,4810,1966220,ACB
2017-04-19,4810,4810,4760,4770,904604,ACB
2017-04-20,4770,4810,4730,4770,1029547,ACB
2017-04-21,4770,4800,4740,4770,1166146,ACB
2017-04-24,4730,4760,4720,4730,1041557,ACB
2017-04-25,4680,4710,4600,4640,1796943,ACB
2017-04-26,4680,4860,4710,4770,1183165,ACB
2017-04-27,4770,4820,4740,4770,867590,ACB
2017-04-28,4750,4980,4730,4870,3189572,ACB
2017-05-03,4870,5050,4900,5000,2622355,ACB
2017-05-04,5020,5040,4960,5000,1511935,ACB
2017-05-05,5000,5010,4890,4940,1540483,ACB
2017-05-08,4920,4920,4800,4850,1334252,ACB
2017-05-09,4850,5040,4870,4980,1873308,ACB
2017-05-10,5020,5020,4940,4980,1722684,ACB
2017-05-11,4980,4960,4850,4920,1225352,ACB
2017-05-12,4960,5000,4940,4960,1408743,ACB
2017-05-15,4960,4990,4910,4940,1557823,ACB
2017-05-16,4890,5100,4890,5020,4063912,ACB
2017-05-17,5020,5180,5070,5120,2463380,ACB
2017-05-18,5120,5220,5030,5150,4440070,ACB
2017-05-19,5150,5250,5080,5190,3380097,ACB
2017-05-22,5190,5370,5160,5270,8110171,ACB
2017-05-23,5290,5230,5040,5150,3154806,ACB
2017-05-24,5150,5380,5170,5290,2741337,ACB
2017-05-25,5310,5360,5210,5270,4482961,ACB
2017-05-26,5270,5290,5230,5250,1931186,ACB
2017-05-29,5210,5360,5210,5270,2434669,ACB
2017-05-30,5270,5380,5230,5250,3271836,ACB
2017-05-31,5230,5310,5210,5250,1808309,ACB
2017-06-01,5250,5280,5150,5210,2213300,ACB
2017-06-02,5210,5240,5130,5190,2357600,ACB
2017-06-05,5190,5260,5150,5210,2071223,ACB
2017-06-06,5290,5360,5280,5310,2786052,ACB
2017-06-07,5360,5670,5350,5540,9677631,ACB
2017-06-08,5540,5560,5420,5480,1793086,ACB
2017-06-09,5460,5540,5440,5500,1633448,ACB
2017-06-12,5500,5520,5410,5460,2711450,ACB
2017-06-13,5460,5680,5490,5570,2560207,ACB
2017-06-14,5590,5650,5570,5610,2095019,ACB
2017-06-15,5610,5590,5500,5540,2027588,ACB
2017-06-16,5540,5560,5520,5540,1073742,ACB
2017-06-19,5590,5620,5550,5590,2509473,ACB
2017-06-20,5610,5690,5600,5630,2009016,ACB
2017-06-21,5630,5630,5460,5520,3907011,ACB
2017-06-22,5520,5540,5460,5480,1990597,ACB
2017-06-23,5460,5470,5360,5400,2881921,ACB
2017-06-26,5400,5540,5430,5480,1201089,ACB
2017-06-27,5460,5490,5410,5440,681015,ACB
2017-06-28,5420,5470,5380,5420,861040,ACB
2017-06-29,5420,5490,5420,5460,928253,ACB
2017-06-30,5480,5480,5420,5440,663360,ACB
2017-07-03,5460,5610,5460,5540,2832824,ACB
2017-07-04,5540,5570,5460,5500,913620,ACB
2017-07-05,5500,5610,5500,5570,1489515,ACB
2017-07-06,5570,5590,5530,5570,1436039,ACB
2017-07-07,5570,5630,5510,5570,2656919,ACB
2017-07-10,5570,5540,5370,5440,2657063,ACB
2017-07-11,5440,5470,5400,5440,1562679,ACB
2017-07-12,5440,5480,5420,5440,1160871,ACB
2017-07-13,5440,5480,5420,5440,734955,ACB
2017-07-14,5460,5460,5390,5420,366894,ACB
2017-07-17,5420,5300,5120,5230,3160757,ACB
2017-07-18,5230,5320,5220,5270,2229835,ACB
2017-07-19,5270,5300,5260,5270,584611,ACB
2017-07-20,5270,5330,5260,5290,731184,ACB
2017-07-21,5290,5290,5230,5250,357297,ACB
2017-07-24,5250,5240,5120,5190,1117565,ACB
2017-07-25,5230,5310,5250,5270,808354,ACB
2017-07-26,5270,5430,5300,5380,651186,ACB
2017-07-27,5310,5370,5240,5340,581124,ACB
2017-07-28,5360,5450,5370,5420,718964,ACB
2017-07-31,5460,5500,5420,5460,1567378,ACB
2017-08-01,5480,5540,5450,5480,1566838,ACB
2017-08-02,5440,5520,5430,5480,1578560,ACB
2017-08-03,5480,5500,5440,5460,936752,ACB
2017-08-04,5420,5440,5400,5420,1200627,ACB
2017-08-07,5420,5520,5410,5460,1478734,ACB
2017-08-08,5540,5570,5440,5460,382940,ACB
2017-08-09,5460,5450,5320,5380,1649412,ACB
2017-08-10,5340,5400,5310,5340,1139760,ACB
2017-08-11,5360,5350,5310,5340,774623,ACB
2017-08-14,5310,5400,5310,5400,657975,ACB
2017-08-15,5400,5440,5400,5420,799795,ACB
2017-08-16,5420,5460,5420,5440,487273,ACB
2017-08-17,5460,5430,5330,5380,553039,ACB
2017-08-18,5360,5430,5320,5400,1175485,ACB
2017-08-21,5400,5590,5360,5500,4413094,ACB
2017-08-22,5520,5560,5460,5500,986115,ACB
2017-08-23,5480,5590,5500,5540,740021,ACB
2017-08-24,5540,5880,5630,5760,7254759,ACB
2017-08-25,5760,5890,5700,5800,2024567,ACB
2017-08-28,5800,6090,5860,5990,2649215,ACB
2017-08-29,5990,6140,5850,6010,4269159,ACB
2017-08-30,6010,6050,5930,5990,1653058,ACB
